idImagen,clase,rutaRaw,rutaCudaBin,alto,ancho,tiempoKernelMs,tiempoTotalGpuSegundos,estado,error
0,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_0_raw.bin,salidas/cudaBin/Bercak Daun/imagen_0_cuda.bin,128,128,108.343,0.42897,ok,
1,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_1_raw.bin,salidas/cudaBin/Bercak Daun/imagen_1_cuda.bin,128,128,0.016064,0.000582603,ok,
2,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_2_raw.bin,salidas/cudaBin/Bercak Daun/imagen_2_cuda.bin,128,128,0.014048,0.000536894,ok,
3,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_3_raw.bin,salidas/cudaBin/Bercak Daun/imagen_3_cuda.bin,128,128,0.008192,0.000448861,ok,
4,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_4_raw.bin,salidas/cudaBin/Bercak Daun/imagen_4_cuda.bin,128,128,0.008896,0.000522501,ok,
5,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_5_raw.bin,salidas/cudaBin/Bercak Daun/imagen_5_cuda.bin,128,128,0.007968,0.000462108,ok,
6,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_6_raw.bin,salidas/cudaBin/Bercak Daun/imagen_6_cuda.bin,128,128,0.01232,0.000481937,ok,
7,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_7_raw.bin,salidas/cudaBin/Bercak Daun/imagen_7_cuda.bin,128,128,0.007552,0.000436166,ok,
8,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_8_raw.bin,salidas/cudaBin/Bercak Daun/imagen_8_cuda.bin,128,128,0.022176,0.000441136,ok,
9,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_9_raw.bin,salidas/cudaBin/Bercak Daun/imagen_9_cuda.bin,128,128,0.015904,0.000431708,ok,
10,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_10_raw.bin,salidas/cudaBin/Bercak Daun/imagen_10_cuda.bin,128,128,0.006688,0.000434804,ok,
11,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_11_raw.bin,salidas/cudaBin/Bercak Daun/imagen_11_cuda.bin,128,128,0.00688,0.000430617,ok,
12,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_12_raw.bin,salidas/cudaBin/Bercak Daun/imagen_12_cuda.bin,128,128,0.006144,0.000510336,ok,
13,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_13_raw.bin,salidas/cudaBin/Bercak Daun/imagen_13_cuda.bin,128,128,0.0072,0.000457431,ok,
14,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_14_raw.bin,salidas/cudaBin/Bercak Daun/imagen_14_cuda.bin,128,128,0.006304,0.000449221,ok,
