idImagen,clase,rutaNpy,rutaRaw,alto,ancho,tipoDato,cantidadElementos,tiempoSegundos,estado,error
0,Bercak Daun,"/media/alumno/DAMIAN/Barahona,Chasipanta,Cañas_TallerFinal/salidas/npyCpu/Bercak Daun/imagen_0.npy","/media/alumno/DAMIAN/Barahona,Chasipanta,Cañas_TallerFinal/salidas/rawCuda/Bercak Daun/imagen_0_raw.bin",128,128,float32,16384,0.12177292799970019,ok,
1,Bercak Daun,"/media/alumno/DAMIAN/Barahona,Chasipanta,Cañas_TallerFinal/salidas/npyCpu/Bercak Daun/imagen_1.npy","/media/alumno/DAMIAN/Barahona,Chasipanta,Cañas_TallerFinal/salidas/rawCuda/Bercak Daun/imagen_1_raw.bin",128,128,float32,16384,0.11950974800129188,ok,
2,Bercak Daun,"/media/alumno/DAMIAN/Barahona,Chasipanta,Cañas_TallerFinal/salidas/npyCpu/Bercak Daun/imagen_2.npy","/media/alumno/DAMIAN/Barahona,Chasipanta,Cañas_TallerFinal/salidas/rawCuda/Bercak Daun/imagen_2_raw.bin",128,128,float32,16384,0.11963141199885285,ok,
3,Bercak Daun,"/media/alumno/DAMIAN/Barahona,Chasipanta,Cañas_TallerFinal/salidas/npyCpu/Bercak Daun/imagen_3.npy","/media/alumno/DAMIAN/Barahona,Chasipanta,Cañas_TallerFinal/salidas/rawCuda/Bercak Daun/imagen_3_raw.bin",128,128,float32,16384,0.11924826900212793,ok,
4,Bercak Daun,"/media/alumno/DAMIAN/Barahona,Chasipanta,Cañas_TallerFinal/salidas/npyCpu/Bercak Daun/imagen_4.npy","/media/alumno/DAMIAN/Barahona,Chasipanta,Cañas_TallerFinal/salidas/rawCuda/Bercak Daun/imagen_4_raw.bin",128,128,float32,16384,0.1190100200001325,ok,
5,Bercak Daun,"/media/alumno/DAMIAN/Barahona,Chasipanta,Cañas_TallerFinal/salidas/npyCpu/Bercak Daun/imagen_5.npy","/media/alumno/DAMIAN/Barahona,Chasipanta,Cañas_TallerFinal/salidas/rawCuda/Bercak Daun/imagen_5_raw.bin",128,128,float32,16384,0.12033138799961307,ok,
6,Bercak Daun,"/media/alumno/DAMIAN/Barahona,Chasipanta,Cañas_TallerFinal/salidas/npyCpu/Bercak Daun/imagen_6.npy","/media/alumno/DAMIAN/Barahona,Chasipanta,Cañas_TallerFinal/salidas/rawCuda/Bercak Daun/imagen_6_raw.bin",128,128,float32,16384,0.11853016700115404,ok,
7,Bercak Daun,"/media/alumno/DAMIAN/Barahona,Chasipanta,Cañas_TallerFinal/salidas/npyCpu/Bercak Daun/imagen_7.npy","/media/alumno/DAMIAN/Barahona,Chasipanta,Cañas_TallerFinal/salidas/rawCuda/Bercak Daun/imagen_7_raw.bin",128,128,float32,16384,0.11915311999837286,ok,
8,Bercak Daun,"/media/alumno/DAMIAN/Barahona,Chasipanta,Cañas_TallerFinal/salidas/npyCpu/Bercak Daun/imagen_8.npy","/media/alumno/DAMIAN/Barahona,Chasipanta,Cañas_TallerFinal/salidas/rawCuda/Bercak Daun/imagen_8_raw.bin",128,128,float32,16384,0.1192843869976059,ok,
9,Bercak Daun,"/media/alumno/DAMIAN/Barahona,Chasipanta,Cañas_TallerFinal/salidas/npyCpu/Bercak Daun/imagen_9.npy","/media/alumno/DAMIAN/Barahona,Chasipanta,Cañas_TallerFinal/salidas/rawCuda/Bercak Daun/imagen_9_raw.bin",128,128,float32,16384,0.1192819479983882,ok,
10,Bercak Daun,"/media/alumno/DAMIAN/Barahona,Chasipanta,Cañas_TallerFinal/salidas/npyCpu/Bercak Daun/imagen_10.npy","/media/alumno/DAMIAN/Barahona,Chasipanta,Cañas_TallerFinal/salidas/rawCuda/Bercak Daun/imagen_10_raw.bin",128,128,float32,16384,0.11934340600055293,ok,
11,Bercak Daun,"/media/alumno/DAMIAN/Barahona,Chasipanta,Cañas_TallerFinal/salidas/npyCpu/Bercak Daun/imagen_11.npy","/media/alumno/DAMIAN/Barahona,Chasipanta,Cañas_TallerFinal/salidas/rawCuda/Bercak Daun/imagen_11_raw.bin",128,128,float32,16384,0.11935684600030072,ok,
12,Bercak Daun,"/media/alumno/DAMIAN/Barahona,Chasipanta,Cañas_TallerFinal/salidas/npyCpu/Bercak Daun/imagen_12.npy","/media/alumno/DAMIAN/Barahona,Chasipanta,Cañas_TallerFinal/salidas/rawCuda/Bercak Daun/imagen_12_raw.bin",128,128,float32,16384,0.11909243500122102,ok,
13,Bercak Daun,"/media/alumno/DAMIAN/Barahona,Chasipanta,Cañas_TallerFinal/salidas/npyCpu/Bercak Daun/imagen_13.npy","/media/alumno/DAMIAN/Barahona,Chasipanta,Cañas_TallerFinal/salidas/rawCuda/Bercak Daun/imagen_13_raw.bin",128,128,float32,16384,0.11924558199825697,ok,
14,Bercak Daun,"/media/alumno/DAMIAN/Barahona,Chasipanta,Cañas_TallerFinal/salidas/npyCpu/Bercak Daun/imagen_14.npy","/media/alumno/DAMIAN/Barahona,Chasipanta,Cañas_TallerFinal/salidas/rawCuda/Bercak Daun/imagen_14_raw.bin",128,128,float32,16384,0.11919941599990125,ok,
15,Bercak Daun,"/media/alumno/DAMIAN/Barahona,Chasipanta,Cañas_TallerFinal/salidas/npyCpu/Bercak Daun/imagen_15.npy","/media/alumno/DAMIAN/Barahona,Chasipanta,Cañas_TallerFinal/salidas/rawCuda/Bercak Daun/imagen_15_raw.bin",128,128,float32,16384,0.119300406997354,ok,
16,Bercak Daun,"/media/alumno/DAMIAN/Barahona,Chasipanta,Cañas_TallerFinal/salidas/npyCpu/Bercak Daun/imagen_16.npy","/media/alumno/DAMIAN/Barahona,Chasipanta,Cañas_TallerFinal/salidas/rawCuda/Bercak Daun/imagen_16_raw.bin",128,128,float32,16384,0.11951222499919822,ok,
17,Bercak Daun,"/media/alumno/DAMIAN/Barahona,Chasipanta,Cañas_TallerFinal/salidas/npyCpu/Bercak Daun/imagen_17.npy","/media/alumno/DAMIAN/Barahona,Chasipanta,Cañas_TallerFinal/salidas/rawCuda/Bercak Daun/imagen_17_raw.bin",128,128,float32,16384,0.11927237300187699,ok,
18,Bercak Daun,"/media/alumno/DAMIAN/Barahona,Chasipanta,Cañas_TallerFinal/salidas/npyCpu/Bercak Daun/imagen_18.npy","/media/alumno/DAMIAN/Barahona,Chasipanta,Cañas_TallerFinal/salidas/rawCuda/Bercak Daun/imagen_18_raw.bin",128,128,float32,16384,0.1191012680028507,ok,
19,Bercak Daun,"/media/alumno/DAMIAN/Barahona,Chasipanta,Cañas_TallerFinal/salidas/npyCpu/Bercak Daun/imagen_19.npy","/media/alumno/DAMIAN/Barahona,Chasipanta,Cañas_TallerFinal/salidas/rawCuda/Bercak Daun/imagen_19_raw.bin",128,128,float32,16384,0.11943383299876587,ok,
20,Bercak Daun,"/media/alumno/DAMIAN/Barahona,Chasipanta,Cañas_TallerFinal/salidas/npyCpu/Bercak Daun/imagen_20.npy","/media/alumno/DAMIAN/Barahona,Chasipanta,Cañas_TallerFinal/salidas/rawCuda/Bercak Daun/imagen_20_raw.bin",128,128,float32,16384,0.11953335699945455,ok,
21,Bercak Daun,"/media/alumno/DAMIAN/Barahona,Chasipanta,Cañas_TallerFinal/salidas/npyCpu/Bercak Daun/imagen_21.npy","/media/alumno/DAMIAN/Barahona,Chasipanta,Cañas_TallerFinal/salidas/rawCuda/Bercak Daun/imagen_21_raw.bin",128,128,float32,16384,0.11926133599990862,ok,
22,Bercak Daun,"/media/alumno/DAMIAN/Barahona,Chasipanta,Cañas_TallerFinal/salidas/npyCpu/Bercak Daun/imagen_22.npy","/media/alumno/DAMIAN/Barahona,Chasipanta,Cañas_TallerFinal/salidas/rawCuda/Bercak Daun/imagen_22_raw.bin",128,128,float32,16384,0.11926235599821666,ok,
23,Bercak Daun,"/media/alumno/DAMIAN/Barahona,Chasipanta,Cañas_TallerFinal/salidas/npyCpu/Bercak Daun/imagen_23.npy","/media/alumno/DAMIAN/Barahona,Chasipanta,Cañas_TallerFinal/salidas/rawCuda/Bercak Daun/imagen_23_raw.bin",128,128,float32,16384,0.11933955799759133,ok,
24,Bercak Daun,"/media/alumno/DAMIAN/Barahona,Chasipanta,Cañas_TallerFinal/salidas/npyCpu/Bercak Daun/imagen_24.npy","/media/alumno/DAMIAN/Barahona,Chasipanta,Cañas_TallerFinal/salidas/rawCuda/Bercak Daun/imagen_24_raw.bin",128,128,float32,16384,0.11892152700238512,ok,
25,Bercak Daun,"/media/alumno/DAMIAN/Barahona,Chasipanta,Cañas_TallerFinal/salidas/npyCpu/Bercak Daun/imagen_25.npy","/media/alumno/DAMIAN/Barahona,Chasipanta,Cañas_TallerFinal/salidas/rawCuda/Bercak Daun/imagen_25_raw.bin",128,128,float32,16384,0.11958862999745179,ok,
26,Bercak Daun,"/media/alumno/DAMIAN/Barahona,Chasipanta,Cañas_TallerFinal/salidas/npyCpu/Bercak Daun/imagen_26.npy","/media/alumno/DAMIAN/Barahona,Chasipanta,Cañas_TallerFinal/salidas/rawCuda/Bercak Daun/imagen_26_raw.bin",128,128,float32,16384,0.11929922499984968,ok,
