idImagen,clase,rutaRaw,rutaCudaBin,alto,ancho,tiempoKernelMs,tiempoTotalGpuSegundos,hilosX,hilosY,filtro,estado,error
0,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_0_raw.bin,salidas/cudaBin/Bercak Daun/imagen_0_cuda.bin,512,512,119.52,0.479489,16,16,enfoque,ok,
1,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_1_raw.bin,salidas/cudaBin/Bercak Daun/imagen_1_cuda.bin,512,512,0.036608,0.00244256,16,16,enfoque,ok,
2,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_2_raw.bin,salidas/cudaBin/Bercak Daun/imagen_2_cuda.bin,512,512,0.040352,0.00249413,16,16,enfoque,ok,
3,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_3_raw.bin,salidas/cudaBin/Bercak Daun/imagen_3_cuda.bin,512,512,0.048384,0.00252637,16,16,enfoque,ok,
4,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_4_raw.bin,salidas/cudaBin/Bercak Daun/imagen_4_cuda.bin,512,512,0.040448,0.00230816,16,16,enfoque,ok,
5,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_5_raw.bin,salidas/cudaBin/Bercak Daun/imagen_5_cuda.bin,512,512,0.039616,0.00257082,16,16,enfoque,ok,
6,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_6_raw.bin,salidas/cudaBin/Bercak Daun/imagen_6_cuda.bin,512,512,0.03312,0.00241072,16,16,enfoque,ok,
7,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_7_raw.bin,salidas/cudaBin/Bercak Daun/imagen_7_cuda.bin,512,512,0.039712,0.00231176,16,16,enfoque,ok,
8,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_8_raw.bin,salidas/cudaBin/Bercak Daun/imagen_8_cuda.bin,512,512,0.039264,0.00226682,16,16,enfoque,ok,
9,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_9_raw.bin,salidas/cudaBin/Bercak Daun/imagen_9_cuda.bin,512,512,0.039648,0.00231766,16,16,enfoque,ok,
10,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_10_raw.bin,salidas/cudaBin/Bercak Daun/imagen_10_cuda.bin,512,512,0.03856,0.00229741,16,16,enfoque,ok,
11,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_11_raw.bin,salidas/cudaBin/Bercak Daun/imagen_11_cuda.bin,512,512,0.039904,0.00241738,16,16,enfoque,ok,
12,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_12_raw.bin,salidas/cudaBin/Bercak Daun/imagen_12_cuda.bin,512,512,0.0408,0.00237302,16,16,enfoque,ok,
13,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_13_raw.bin,salidas/cudaBin/Bercak Daun/imagen_13_cuda.bin,512,512,0.038656,0.0023565,16,16,enfoque,ok,
14,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_14_raw.bin,salidas/cudaBin/Bercak Daun/imagen_14_cuda.bin,512,512,0.038464,0.00237951,16,16,enfoque,ok,
15,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_15_raw.bin,salidas/cudaBin/Bercak Daun/imagen_15_cuda.bin,512,512,0.039584,0.00223207,16,16,enfoque,ok,
16,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_16_raw.bin,salidas/cudaBin/Bercak Daun/imagen_16_cuda.bin,512,512,0.038912,0.00229854,16,16,enfoque,ok,
17,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_17_raw.bin,salidas/cudaBin/Bercak Daun/imagen_17_cuda.bin,512,512,0.037888,0.00236407,16,16,enfoque,ok,
18,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_18_raw.bin,salidas/cudaBin/Bercak Daun/imagen_18_cuda.bin,512,512,0.040032,0.00233572,16,16,enfoque,ok,
19,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_19_raw.bin,salidas/cudaBin/Bercak Daun/imagen_19_cuda.bin,512,512,0.038304,0.0024154,16,16,enfoque,ok,
