idImagen,clase,rutaRaw,alto,ancho,tipoDato,cantidadElementos,tamanoBytes,estado,error,tiempoPreparacionGlobalSegundos
0,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_0_raw.bin,512,512,uint8,262144,262144,ok,,199.2215750000032
1,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_1_raw.bin,512,512,uint8,262144,262144,ok,,199.2215750000032
2,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_2_raw.bin,512,512,uint8,262144,262144,ok,,199.2215750000032
3,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_3_raw.bin,512,512,uint8,262144,262144,ok,,199.2215750000032
4,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_4_raw.bin,512,512,uint8,262144,262144,ok,,199.2215750000032
5,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_5_raw.bin,512,512,uint8,262144,262144,ok,,199.2215750000032
6,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_6_raw.bin,512,512,uint8,262144,262144,ok,,199.2215750000032
7,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_7_raw.bin,512,512,uint8,262144,262144,ok,,199.2215750000032
8,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_8_raw.bin,512,512,uint8,262144,262144,ok,,199.2215750000032
9,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_9_raw.bin,512,512,uint8,262144,262144,ok,,199.2215750000032
10,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_10_raw.bin,512,512,uint8,262144,262144,ok,,199.2215750000032
11,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_11_raw.bin,512,512,uint8,262144,262144,ok,,199.2215750000032
12,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_12_raw.bin,512,512,uint8,262144,262144,ok,,199.2215750000032
13,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_13_raw.bin,512,512,uint8,262144,262144,ok,,199.2215750000032
14,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_14_raw.bin,512,512,uint8,262144,262144,ok,,199.2215750000032
15,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_15_raw.bin,512,512,uint8,262144,262144,ok,,199.2215750000032
16,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_16_raw.bin,512,512,uint8,262144,262144,ok,,199.2215750000032
