rutaImagen,nombreArchivo,clase,extension,tamanoBytes,valida,error,idImagen
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (1).jpg,Corn_Gray_Spot (1).jpg,Bercak Daun,.jpg,382562,True,,0
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (10).jpg,Corn_Gray_Spot (10).jpg,Bercak Daun,.jpg,287316,True,,1
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (100).JPG,Corn_Gray_Spot (100).JPG,Bercak Daun,.jpg,14481,True,,2
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (101).JPG,Corn_Gray_Spot (101).JPG,Bercak Daun,.jpg,17461,True,,3
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (102).JPG,Corn_Gray_Spot (102).JPG,Bercak Daun,.jpg,11997,True,,4
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (103).JPG,Corn_Gray_Spot (103).JPG,Bercak Daun,.jpg,17901,True,,5
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (104).JPG,Corn_Gray_Spot (104).JPG,Bercak Daun,.jpg,14615,True,,6
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (105).JPG,Corn_Gray_Spot (105).JPG,Bercak Daun,.jpg,20251,True,,7
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (106).JPG,Corn_Gray_Spot (106).JPG,Bercak Daun,.jpg,19982,True,,8
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (107).JPG,Corn_Gray_Spot (107).JPG,Bercak Daun,.jpg,14718,True,,9
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (108).JPG,Corn_Gray_Spot (108).JPG,Bercak Daun,.jpg,15862,True,,10
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (109).JPG,Corn_Gray_Spot (109).JPG,Bercak Daun,.jpg,14991,True,,11
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (11).jpg,Corn_Gray_Spot (11).jpg,Bercak Daun,.jpg,20441,True,,12
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (110).JPG,Corn_Gray_Spot (110).JPG,Bercak Daun,.jpg,12220,True,,13
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (111).JPG,Corn_Gray_Spot (111).JPG,Bercak Daun,.jpg,13734,True,,14
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (112).JPG,Corn_Gray_Spot (112).JPG,Bercak Daun,.jpg,22489,True,,15
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (113).jpg,Corn_Gray_Spot (113).jpg,Bercak Daun,.jpg,16675,True,,16
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (114).jpg,Corn_Gray_Spot (114).jpg,Bercak Daun,.jpg,15925,True,,17
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (115).JPG,Corn_Gray_Spot (115).JPG,Bercak Daun,.jpg,15543,True,,18
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (116).JPG,Corn_Gray_Spot (116).JPG,Bercak Daun,.jpg,14200,True,,19
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (117).JPG,Corn_Gray_Spot (117).JPG,Bercak Daun,.jpg,17678,True,,20
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (118).JPG,Corn_Gray_Spot (118).JPG,Bercak Daun,.jpg,15529,True,,21
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (119).JPG,Corn_Gray_Spot (119).JPG,Bercak Daun,.jpg,15885,True,,22
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (12).jpg,Corn_Gray_Spot (12).jpg,Bercak Daun,.jpg,225240,True,,23
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (120).JPG,Corn_Gray_Spot (120).JPG,Bercak Daun,.jpg,19839,True,,24
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (121).JPG,Corn_Gray_Spot (121).JPG,Bercak Daun,.jpg,18909,True,,25
C:\Barahona-Chasipanta-Canas_TallerFinalU2\src\data\corn-leaf-disease\Bercak Daun\Corn_Gray_Spot (122).JPG,Corn_Gray_Spot (122).JPG,Bercak Daun,.jpg,13952,True,,26
